t;x;y;
0.000;2.916E-3;0.250
0.033;2.948E-3;0.250
0.067;2.950E-3;0.250
0.100;2.746E-3;0.251
0.133;1.171E-2;0.241
0.167;1.989E-2;0.239
0.200;2.918E-2;0.239
0.233;4.082E-2;0.235
0.267;5.453E-2;0.233
0.300;6.883E-2;0.230
0.333;8.434E-2;0.228
0.367;0.102;0.226
0.400;0.122;0.217
0.433;0.143;0.215
0.467;0.167;0.209
0.500;0.193;0.201
0.533;0.220;0.188
0.567;0.252;0.179
0.600;0.285;0.165
0.633;0.320;0.149
0.666;0.359;0.133
0.700;0.406;0.116
0.733;0.452;0.109
0.766;0.494;0.110
0.800;0.539;0.117
0.833;0.585;0.130
0.866;0.621;0.137
0.900;0.659;0.146
0.933;0.693;0.154
0.966;0.727;0.161
1.000;0.759;0.168
1.033;0.790;0.173
1.066;0.820;0.177
1.100;0.849;0.180
1.133;0.878;0.180
1.166;0.907;0.178
1.200;0.936;0.173
1.233;0.969;0.162
1.266;1.002;0.155
1.300;1.037;0.147
1.333;1.072;0.140
1.366;1.110;0.135
1.400;1.147;0.131
1.433;1.188;0.126
1.466;1.227;0.126
1.500;1.266;0.126
1.533;1.304;0.127
1.566;1.339;0.123
