t;x;y;
0.000;3.271E-3;0.3
0.033;3.876E-3;0.3
0.067;8.013E-3;0.297
0.100;1.269E-2;0.296
0.133;1.886E-2;0.295
0.167;2.629E-2;0.294
0.200;3.493E-2;0.292
0.233;4.539E-2;0.29
0.267;5.772E-2;0.288
0.300;7.145E-2;0.28500000000000003
0.333;8.637E-2;0.28200000000000003
0.367;0.104;0.278
0.400;0.123;0.273
0.433;0.142;0.267
0.467;0.164;0.26
0.500;0.188;0.254
0.533;0.215;0.243
0.567;0.243;0.23099999999999998
0.600;0.276;0.217
0.633;0.310;0.20199999999999999
0.666;0.348;0.186
0.700;0.387;0.173
0.733;0.432;0.15799999999999997
0.766;0.479;0.15799999999999997
0.800;0.523;0.16099999999999998
0.833;0.563;0.173
0.866;0.605;0.18
0.900;0.644;0.19
0.933;0.678;0.19699999999999998
0.966;0.713;0.205
1.000;0.744;0.212
1.033;0.779;0.219
1.066;0.809;0.223
1.100;0.839;0.22599999999999998
1.133;0.868;0.22599999999999998
1.166;0.897;0.22399999999999998
1.200;0.927;0.22
1.233;0.957;0.21
1.266;0.989;0.20099999999999998
1.300;1.022;0.19299999999999998
1.333;1.060;0.186
1.366;1.097;0.18
1.400;1.139;0.172
1.433;1.175;0.17099999999999999
1.466;1.214;0.16999999999999998
1.500;1.252;0.16999999999999998
1.533;1.291;0.16699999999999998
