t;x;y;
0.000;−2.667E−3;0.3
0.033;−3.800E−3;0.3
0.067;1.829E−3;0.292
0.100;8.798E−3;0.29
0.133;1.729E−2;0.299
0.167;2.721E−2;0.289
0.200;3.889E−2;0.287
0.233;5.221E−2;0.285
0.267;6.658E−2;0.282
0.300;8.235E−2;0.27899999999999997
0.333;0.100;0.27599999999999997
0.367;0.120;0.271
0.400;0.140;0.266
0.433;0.163;0.26
0.467;0.188;0.252
0.500;0.212;0.237
0.533;0.241;0.225
0.567;0.272;0.211
0.600;0.307;0.195
0.633;0.344;0.178
0.666;0.389;0.16899999999999998
0.700;0.439;0.155
0.733;0.484;0.153
0.766;0.530;0.161
0.800;0.567;0.174
0.833;0.607;0.184
0.866;0.646;0.193
0.900;0.681;0.20099999999999998
0.933;0.716;0.208
0.966;0.749;0.215
1.000;0.780;0.22
1.033;0.811;0.224
1.066;0.841;0.227
1.100;0.870;0.227
1.133;0.900;0.225
1.166;0.930;0.22
1.200;0.964;0.209
1.233;0.997;0.196
1.266;1.031;0.188
1.300;1.069;0.18
1.333;1.107;0.174
1.366;1.145;0.173
1.400;1.187;0.16599999999999998
1.433;1.226;0.16499999999999998
1.466;1.265;0.16499999999999998
1.500;1.303;0.16499999999999998
1.533;1.342;0.16699999999999998
1.566;1.379;0.154
