t;x;y;
0.033;2.919E-3;0.3
0.067;4.834E-3;0.294
0.100;1.132E-2;0.294
0.133;1.822E-2;0.294
0.167;2.712E-2;0.293
0.200;3.741E-2;0.292
0.233;4.959E-2;0.289
0.267;6.343E-2;0.287
0.300;7.847E-2;0.284
0.333;9.504E-2;0.27999999999999997
0.367;0.114;0.27499999999999997
0.400;0.134;0.27
0.433;0.156;0.265
0.467;0.179;0.257
0.500;0.205;0.247
0.533;0.231;0.23399999999999999
0.567;0.261;0.22
0.600;0.294;0.205
0.633;0.330;0.189
0.666;0.369;0.173
0.700;0.410;0.163
0.733;0.457;0.156
0.766;0.504;0.16
0.800;0.548;0.16899999999999998
0.833;0.588;0.179
0.866;0.627;0.188
0.900;0.665;0.196
0.933;0.699;0.204
0.966;0.733;0.211
1.000;0.761;0.217
1.033;0.794;0.222
1.066;0.823;0.225
1.100;0.852;0.227
1.133;0.881;0.226
1.166;0.910;0.223
1.200;0.940;0.216
1.233;0.974;0.205
1.266;1.006;0.19699999999999998
1.300;1.041;0.189
1.333;1.077;0.183
1.366;1.116;0.177
1.400;1.155;0.172
1.433;1.193;0.16999999999999998
1.466;1.231;0.16999999999999998
1.500;1.269;0.16999999999999998
1.533;1.306;0.16899999999999998
1.566;1.343;0.16699999999999998
